 03;;Ref. facture;;2018 50 3145 27/11/2018;;;
 07;;ANOMALIE MONTANT;;3384.66;;;
 06;;Cumul montant;;3384.66;;Etat courant = 'fichierTraite';
 04;;Total facture;;;;;
 05;;Total produits;;;;;
 08;;;;;;;
 02;;Boutique;;BLAGNAC;;;
027;;ACCEC020-EVS47-076;ACCESSOIRE POMPON + NÅ'UD EVA COMPOUND + FAUSSE FOURRURE RENARD;UNICA;10;5,900;59,00
028;;ACCEC020-EVS47-371;ACCESSOIRE POMPON + NÅ'UD EVA COMPOUND + FAUSSE FOURRURE RENARD;UNICA;10;5,900;59,00
026;;ACCEC020-EVS47-055;ACCESSOIRE POMPON + NÅ'UD EVA COMPOUND + FAUSSE FOURRURE RENARD;UNICA;15;5,900;88,50
030;8050846049154;HLESF800-ECS94-055;ANSES COURTES AVEC BOUCLE FAUX CUIR EFFET GRIFFÃ‰ + STRASS;UNICA;10;9,000;90,00
031;8050846049215;HLESF800-ECS94-559;ANSES COURTES AVEC BOUCLE FAUX CUIR EFFET GRIFFÃ‰ + STRASS;UNICA;6;9,000;54,00
001;8050846042889;HLESCE01-ECS07-133;ANSES DOUBLE CHAÃŽNE EN Â"Â TÂ Â" EN FAUX CUIR EFFET GRIFFÃ‰;UNICA;8;10,600;84,80
029;8050846035133;HLESCE01-ECS00-055;ANSES DOUBLE CHAÃŽNE EN Â"Â TÂ Â" EN FAUX CUIR;UNICA;10;12,660;126,60
029;8050846035133;HLESCE01-ECS00-055;ANSES DOUBLE CHAÃŽNE EN Â"Â TÂ Â" EN FAUX CUIR;UNICA;10;12,660;126,60
029;8050846045699;HLESCE01-ECS00-055;ANSES DOUBLE CHAÃŽNE EN Â"Â TÂ Â" EN FAUX CUIR;UNICA;10;12,660;126,60
025;;SHOUX101-ECS00-018;BANDOULIÃˆRE EXTRASLIM 110 + ANSES TUBULAIRES + CLIP FAUX CUIR;UNICA;2;18,960;37,92
017;;OBAGB206-EVS00-559;CORPS INFÃ‰RIEUR O POCKET EVA COMPOUND;UNICA;4;4,800;19,20
007;8056098534172;OBAGB206-EVS00-038;CORPS INFÃ‰RIEUR O POCKET EVA COMPOUND;UNICA;5;4,800;24,00
016;;OBAGB206-EVS00-024;CORPS INFÃ‰RIEUR O POCKET EVA COMPOUND;UNICA;5;4,800;24,00
002;8050450212456;OBAGB001-EVS00-038;CORPS O BAG EVA COMPOUND;UNICA;10;14,400;144,00
032;8051770308508;OBAGB001-EVS00-076;CORPS O BAG EVA COMPOUND;UNICA;4;14,400;57,60
010;8050846039070;OBAGB001-EVS00-541;CORPS O BAG EVA COMPOUND;UNICA;6;14,400;86,40
003;8050846039049;OBAGB001-EVS00-389;CORPS O BAG EVA COMPOUND;UNICA;8;14,400;115,20
009;8050450214153;OBAGB001-EVS00-024;CORPS O BAG EVA COMPOUND;UNICA;8;14,400;115,20
014;;OBAGB034-EVS00-024;CORPS O BAG GLAM EVA COMPOUND;UNICA;2;11,880;23,76
015;8050846039834;OBAGB034-EVS00-071;CORPS O BAG GLAM EVA COMPOUND;UNICA;3;11,880;35,64
004;8050450212142;OBAGB002-EVS00-075;CORPS O BAG MINI EVA COMPOUND;UNICA;10;14,400;144,00
004;8050450218342;OBAGB002-EVS00-075;CORPS O BAG MINI EVA COMPOUND;UNICA;10;14,400;144,00
005;8050846039100;OBAGB002-EVS00-389;CORPS O BAG MINI EVA COMPOUND;UNICA;10;14,400;144,00
033;8050450215624;OBAGB002-EVS00-076;CORPS O BAG MINI EVA COMPOUND;UNICA;5;14,400;72,00
011;8050846039148;OBAGB002-EVS00-559;CORPS O BAG MINI EVA COMPOUND;UNICA;8;14,400;115,20
013;8050846039728;OBAGB033-EVS00-371;CORPS O BAG URBAN EVA COMPOUND;UNICA;1;14,160;14,16
013;8050846039728;OBAGB033-EVS00-371;CORPS O BAG URBAN EVA COMPOUND;UNICA;1;14,160;14,16
006;8050846039643;OBAGB033-EVS00-017;CORPS O BAG URBAN EVA COMPOUND;UNICA;3;14,160;42,48
