026;;;ACCEC020-EVS47-055;ACCESSOIRE POMPON + N�'UD EVA COMPOUND + FAUSSE FOURRURE RENARD;UNICA;15;5,900
027;;;ACCEC020-EVS47-076;ACCESSOIRE POMPON + N�'UD EVA COMPOUND + FAUSSE FOURRURE RENARD;UNICA;10;5,900
028;;;ACCEC020-EVS47-371;ACCESSOIRE POMPON + N�'UD EVA COMPOUND + FAUSSE FOURRURE RENARD;UNICA;10;5,900
014;;;OBAGB034-EVS00-024;CORPS O BAG GLAM EVA COMPOUND;UNICA;2;11,880
016;;;OBAGB206-EVS00-024;CORPS INFÉRIEUR O POCKET EVA COMPOUND;UNICA;5;4,800
017;;;OBAGB206-EVS00-559;CORPS INFÉRIEUR O POCKET EVA COMPOUND;UNICA;4;4,800
035;;;OBAGC101-FAS01-055;COVER O BAG EN FAUSSE FOURRURE LAPIN;UNICA;6;29,400
036;;;OBAGC101-FAS01-371;COVER O BAG EN FAUSSE FOURRURE LAPIN;UNICA;4;29,400
037;;;OBAGC102-FAS01-055;COVER O BAG MINI EN FAUSSE FOURRURE LAPIN;UNICA;6;25,680
038;;;OBAGC102-FAS01-371;COVER O BAG MINI EN FAUSSE FOURRURE LAPIN;UNICA;4;25,680
039;;;OBAGP006-TEST5-055;RABAT O POCKET EN TISSU LAINE TRESSÉE + BIJOUX;UNICA;6;12,100
040;;;OBAGPA24-TEST9-017;RABAT TOURNIQUET O POCKET MICRO VELOURS + BIJOUX;UNICA;3;11,200
041;;;OBAGPA24-TEST9-018;RABAT TOURNIQUET O POCKET MICRO VELOURS + BIJOUX;UNICA;4;11,200
042;;;OBAGPA24-TEST9-055;RABAT TOURNIQUET O POCKET MICRO VELOURS + BIJOUX;UNICA;4;11,200
043;;;OBAGPA24-TEST9-134;RABAT TOURNIQUET O POCKET MICRO VELOURS + BIJOUX;UNICA;3;11,200
018;;;OBAGS001-TESR1-018;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG EN TISSU COTTON CORDUROY;UNICA;5;10,800
019;;;OBAGS001-TESR1-086;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG EN TISSU COTTON CORDUROY;UNICA;2;10,800
020;;;OBAGS001-TESR1-258;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG EN TISSU COTTON CORDUROY;UNICA;8;10,800
021;;;OBAGS002-TESR1-018;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG MINI EN TISSU COTTON CORDUROY;UNICA;3;9,000
022;;;OBAGS002-TESR1-055;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG MINI EN TISSU COTTON CORDUROY;UNICA;5;9,000
023;;;OBAGS002-TESR1-086;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG MINI EN TISSU COTTON CORDUROY;UNICA;5;9,000
024;;;OBAGS002-TESR1-258;POCHETTE INTÉRIEURE FERMETURE ÉCLAIR O BAG MINI EN TISSU COTTON CORDUROY;UNICA;3;9,000
008;;;OBAGT002-LAS34-086;REVERS O BAG MINI EN LAINE RASÉE;UNICA;2;9,660
044;;;OCLKD001-MESC2-055;Qté Prix Remises Montant Cadeau;UNICA;15;10,900
045;;;OCLKD001-MESC2-076;Récapitulatifs douaniers;UNICA;10;10,900
046;;;OCLKD001-MESC2-389;Catégorie Um poids Poids Um qté Qté Valeur;UNICA;15;10,900
025;;;SHOUX101-ECS00-018;BANDOULIÈRE EXTRASLIM 110 + ANSES TUBULAIRES + CLIP FAUX CUIR;UNICA;2;18,960
