025;cipria;cipria;
111;ocra;ocra;
081;smeraldo;smeraldo;
017;blu navy;blu navy;
133;grigio chiaro;grigio chiaro;
055;nero;nero;
055;nero;black;
267;fucsia;fucsia;
484;coral;coral;
025;cipria;cipria;
025;cipria;cipria;
055;nero;black;
111;ocra;ocra;
111;ocra;ocra;
081;smeraldo;smeraldo;
081;smeraldo;smeraldo;
017;blu navy;blu navy;
017;blu navy;blu navy;
133;grigio chiaro;grigio chiaro;
133;grigio chiaro;grigio chiaro;
055;nero;nero;
055;nero;nero;
267;fucsia;fucsia;
267;fucsia;fucsia;
484;coral;coral;
484;coral;coral;
025;cipria;cipria;
055;nero;black;
111;ocra;ocra;
081;smeraldo;smeraldo;
017;blu navy;blu navy;
133;grigio chiaro;grigio chiaro;
055;nero;nero;
055;nero;nero;
267;fucsia;fucsia;
484;coral;coral;
025;cipria;cipria;
025;cipria;cipria;
267;fucsia;fucsia;
267;fucsia;fucsia;
484;coral;coral;
484;coral;coral;
111;ocra;ocra;
111;ocra;ocra;
081;smeraldo;smeraldo;
081;smeraldo;smeraldo;
017;blu navy;blu navy;
017;blu navy;blu navy;
133;grigio chiaro;grigio chiaro;
133;grigio chiaro;grigio chiaro;
055;nero;nero;
055;nero;nero;
025;cipria;cipria;
025;cipria;cipria;
111;ocra;ocra;
111;ocra;ocra;
081;smeraldo;smeraldo;
081;smeraldo;smeraldo;
017;blu navy;blu navy;
017;blu navy;blu navy;
133;grigio chiaro;grigio chiaro;
133;grigio chiaro;grigio chiaro;
055;nero;nero;
055;nero;nero;
025;cipria;cipria;
111;ocra;ocra;
081;smeraldo;smeraldo;
017;blu navy;blu navy;
133;grigio chiaro;grigio chiaro;
055;nero;nero;
267;fucsia;fucsia;
267;fucsia;fucsia;
267;fucsia;fucsia;
484;coral;coral;
484;coral;coral;
484;coral;coral;
