026;cobalto;cobalt blue;
075;rosa smoke;rose smoke;
076;rosso;red;
345;coral;coral;
479;skyway;skyway;
422;sangria;sangria;
483;champagne;champagne;
485;atlantic;atlantic;
084;testa di moro;dark brown;
038;grafite;graphite;
486;pink;pink;
347;cedro;cedro;
485;atlantic;atlantic;
076;rosso;red;
026;cobalto;cobalt blue;
075;rosa smoke;rose smoke;
422;sangria;sangria;
479;skyway;skyway;
483;champagne;champagne;
345;coral;coral;
084;testa di moro;dark brown;
038;grafite;graphite;
347;cedro;cedro;
486;pink;pink;
026;cobalto;cobalt blue;
075;rosa smoke;rose smoke;
345;coral;coral;
076;rosso;red;
485;atlantic;atlantic;
422;sangria;sangria;
479;skyway;skyway;
084;testa di moro;dark brown;
347;cedro;cedro;
026;cobalto;cobalt blue;
075;rosa smoke;rose smoke;
345;coral;coral;
076;rosso;red;
485;atlantic;atlantic;
422;sangria;sangria;
479;skyway;skyway;
347;cedro;cedro;
084;testa di moro;dark brown;
026;cobalto;cobalt blue;
075;rosa smoke;rose smoke;
345;coral;coral;
422;sangria;sangria;
479;skyway;skyway;
485;atlantic;atlantic;
347;cedro;cedro;
486;pink;pink;
026;cobalto;cobalt blue;
075;rosa smoke;rose smoke;
345;coral;coral;
422;sangria;sangria;
479;skyway;skyway;
485;atlantic;atlantic;
347;cedro;cedro;
486;pink;pink;
026;cobalto;cobalt blue;
345;coral;coral;
422;sangria;sangria;
485;atlantic;atlantic;
347;cedro;cedro;
486;pink;pink;
026;cobalto;cobalt blue;
075;rosa smoke;rose smoke;
345;coral;coral;
076;rosso;red;
483;champagne;champagne;
485;atlantic;atlantic;
479;skyway;skyway;
422;sangria;sangria;
084;testa di moro;dark brown;
347;cedro;cedro;
486;pink;pink;
026;cobalto;cobalt blue;
075;rosa smoke;rose smoke;
422;sangria;sangria;
345;coral;coral;
485;atlantic;atlantic;
347;cedro;cedro;
486;pink;pink;
026;cobalto;cobalt blue;
345;coral;coral;
422;sangria;sangria;
485;atlantic;atlantic;
347;cedro;cedro;
486;pink;pink;
026;cobalto;cobalt blue;
345;coral;coral;
422;sangria;sangria;
485;atlantic;atlantic;
347;cedro;cedro;
486;pink;pink;
345;coral;coral;
422;sangria;sangria;
479;skyway;skyway;
347;cedro;cedro;
017;blu navy;navy blue;
026;cobalto;cobalt blue;
076;rosso;red;
422;sangria;sangria;
017;blu navy;navy blue;
371;latte;milk;
485;atlantic;atlantic;
026;cobalto;cobalt blue;
484;coral;coral;
055;nero;black;
078;sabbia;sand;
139;mela;apple;
484;coral;coral;
026;cobalto;cobalt blue;
055;nero;black;
026;cobalto;cobalt blue;
128;salmone;salmon;
046;mare;sea blue;
137;bluette;bright blue;
051;mostarda;mustard;
139;mela;apple;
183;viola;violet;
084;testa di moro;dark brown;
028;ecru;ecru;
103;denim;denim;
018;bordeaux;burgundy;
055;nero;black;
069;porpora;purple;
108;terracotta;terracotta;
010;blu - grigio;blue - grey;
106;kiwi - polvere;kiwi - dusty blue;
104;terracotta - phard;terracotta - blush pink;
105;grigio - avorio;grey - ivory;
098;blu-blu;blue - blue;
107;salmone - terracotta;salmon - terracotta;
099;grigio-tortora;grey - dove-grey;
100;kiwi-verde;kiwi - green;
038;grafite;graphite;
135;peltro;pewter;
005;avio;air force blue;
154;ciliegia;cherry;
063;ottanio;teal;
079;senape;mustard;
009;blu;blue;
039;grigio;grey;
108;terracotta;terracotta;
006;avorio;ivory;
087;taupe;taupe;
122;salmone - blu;salmon - blue;
123;blu - polvere;blue - dust blue;
124;glicine - grigio;wisteria - grey;
102;denim - cuoio;denim - leather;
054;naturale;natural;
086;tortora;dove-grey;
055;nero;black;
084;testa di moro;dark brown;
039;grigio;grey;
048;mattone;brick;
089;verde;green;
009;blu;blue;
036;giallo;yellow;
076;rosso;red;
054;naturale;natural;
055;nero;black;
084;testa di moro;dark brown;
063;ottanio;teal;
089;verde;green;
183;viola;violet;
055;nero;black;
018;bordeaux;burgundy;
006;avorio;ivory;
087;taupe;taupe;
039;grigio;grey;
084;testa di moro;dark brown;
055;nero;black;
084;testa di moro;dark brown;
093;vino;wine;
078;sabbia - argento;sand - silver;
139;mela - argento;apple - silver;
078;sabbia;sand;
139;mela;apple;
